id;hu;en;de;sci;kat;stat;population
0;Sujtásos fütyülőlúd;Fulvous Whistling Duck;Gelbbrust-Pfeifgans;Dendrocygna bicolor;E;X;0
1;Örvös lúd;Brent Goose;Ringelgans;Branta bernicla;A;R;0
2;Vörösnyakú lúd;Red-breasted Goose;Rothalsgans;Branta ruficollis;A;G;0
3;Kanadai lúd;Canada Goose;Kanadagans;Branta canadensis;C1;R;0
4;Apácalúd;Barnacle Goose;Weißwangengans;Branta leucopsis;A;R;0
5;Indiai lúd;Bar-headed Goose;Streifengans;Anser indicus;C1;R;0
6;Sarki lúd;Snow Goose;Schneegans;Anser caerulescens;E;X;0
7;Nyári lúd;Greylag Goose;Graugans;Anser anser;A;FG;3300-4800
8;Vetési lúd;Taiga Bean Goose;Waldsaatgans;Anser fabalis;A;G;0
9;Rövidcsőrű lúd;Pink-footed Goose;Kurzschnabelgans;Anser brachyrhynchus;A;R;0
10;Tundralúd;Tundra Bean Goose;Tundrasaatgans;Anser serrirostris;A;G;0
11;Vetési lúd faj;Bean Goose sp.;Saatgans sp.;Anser serrirostris v fabalis;;;
12;Nagy lilik;Greater White-fronted Goose;Blässgans;Anser albifrons;A;G;0
13;Kis lilik;Lesser White-fronted Goose;Zwerggans;Anser erythropus;A;R;0
14;Bütykös hattyú;Mute Swan;Höckerschwan;Cygnus olor;A;FG;300-450
15;Kis hattyú;Tundra Swan;Zwergschwan;Cygnus columbianus;A;R;0
16;Énekes hattyú;Whooper Swan;Singschwan;Cygnus cygnus;A;OR;1
17;Nílusi lúd;Egyptian Goose;Nilgans;Alopochen aegyptiaca;C1;OR;0-1
18;Bütykös ásólúd;Common Shelduck;Brandgans;Tadorna tadorna;A;OG;15-38
19;Vörös ásólúd;Ruddy Shelduck;Rostgans;Tadorna ferruginea;A;R;0
20;Mandarinréce;Mandarin Duck;Mandarinente;Aix galericulata;E;R;0
21;Cifra réce;Baikal Teal;Gluckente;Sibirionetta formosa;;;
22;Böjti réce;Garganey;Knäkente;Spatula querquedula;A;FG;500-700
23;Kékszárnyú réce;Blue-winged Teal;Blauflügelente;Spatula discors;A;X;0
24;Kanalas réce;Northern Shoveler;Löffelente;Spatula clypeata;A;FG;50-150
25;Kendermagos réce;Gadwall;Schnatterente;Mareca strepera;A;FG;160-400
26;Fütyülő réce;Eurasian Wigeon;Pfeifente;Mareca penelope;A;G;0
27;Álarcos réce;American Wigeon;Kanadapfeifente;Mareca americana;A;X;0
28;Tőkés réce;Mallard;Stockente;Anas platyrhynchos;A;FG;30000-60000
29;Nyílfarkú réce;Northern Pintail;Spießente;Anas acuta;A;OG;0-20
30;Csörgő réce;Eurasian Teal;Krickente;Anas crecca;A;OG;0-15
31;Zöldszárnyú réce;Green-winged Teal;Carolinakrickente;Anas carolinensis;A;X;0
32;Márványos réce;Marbled Duck;Marmelente;Marmaronetta angustirostris;B;X;0
33;Üstökösréce;Red-crested Pochard;Kolbenente;Netta rufina;A;FG;300-500
34;Barátréce;Common Pochard;Tafelente;Aythya ferina;A;FG;500-1000
35;Cigányréce;Ferruginous Duck;Moorente;Aythya nyroca;A;FG;800-1500
36;Örvös réce;Ring-necked Duck;Ringschnabelente;Aythya collaris;A;X;0
37;Kontyos réce;Tufted Duck;Reiherente;Aythya fuligula;A;FG;0-50
38;Hegyi réce;Greater Scaup;Bergente;Aythya marila;A;G;0
39;Búbos réce;Lesser Scaup;Kanadabergente;Aythya affinis;A;X;0
40;Steller-pehelyréce;Steller's Eider;Scheckente;Polysticta stelleri;A;X;0
41;Cifra pehelyréce;King Eider;Prachteiderente;Somateria spectabilis;A;X;0
42;Pehelyréce;Common Eider;Eiderente;Somateria mollissima;A;R;0
43;Füstös réce;Velvet Scoter;Samtente;Melanitta fusca;A;G;0
44;Fekete réce;Common Scoter;Trauerente;Melanitta nigra;A;R;0
45;Jegesréce;Long-tailed Duck;Eisente;Clangula hyemalis;A;R;0
46;Kerceréce;Common Goldeneye;Schellente;Bucephala clangula;A;G;0
47;Kis bukó;Smew;Zwergsäger;Mergellus albellus;A;G;0
48;Csuklyás bukó;Hooded Merganser;Kappensäger;Lophodytes cucullatus;E;X;0
49;Nagy bukó;Common Merganser;Gänsesäger;Mergus merganser;A;OG;2-10
50;Örvös bukó;Red-breasted Merganser;Mittelsäger;Mergus serrator;A;G;0
51;Halcsontfarkú réce;Ruddy Duck;Schwarzkopf-Ruderente;Oxyura jamaicensis;C1;X;0
52;Kékcsőrű réce;White-headed Duck;Weißkopf-Ruderente;Oxyura leucocephala;A;R;0
53;Császármadár;Hazel Grouse;Haselhuhn;Tetrastes bonasia;A;OR;20-40
54;Siketfajd;Western Capercaillie;Auerhuhn;Tetrao urogallus;A;X;0
55;Nyírfajd;Black Grouse;Birkhuhn;Lyrurus tetrix;B;X;0
56;Fogoly;Grey Partridge;Rebhuhn;Perdix perdix;A;FG;5790
57;Fürj;Common Quail;Wachtel;Coturnix coturnix;A;FG;24000-27000
58;Fácán;Common Pheasant;Jagdfasan;Phasianus colchicus;C1;FG;216000-278000
59;Lappantyú;European Nightjar;Nachtschwalbe;Caprimulgus europaeus;A;FG;6000-10000
60;Havasi sarlósfecske;Alpine Swift;Alpensegler;Tachymarptis melba;A;OR;5-7
61;Sarlósfecske;Common Swift;Mauersegler;Apus apus;A;FG;3000-5000
62;Halvány sarlósfecske;Pallid Swift;Fahlsegler;Apus pallidus;A;X;0
63;Túzok;Great Bustard;Großtrappe;Otis tarda;A;FG;1480-1680
64;Reznek;Little Bustard;Zwergtrappe;Tetrax tetrax;A;X;0
65;Pettyes kakukk;Great Spotted Cuckoo;Häherkuckuck;Clamator glandarius;A;X;0
66;Kakukk;Common Cuckoo;Kuckuck;Cuculus canorus;A;FG;66000-70000
67;Talpastyúk;Pallas's Sandgrouse;Steppenflughuhn;Syrrhaptes paradoxus;B;X;0
68;Barnahasú pusztaityúk;Chestnut-bellied Sandgrouse;Braunbauch-Flughuhn;Pterocles exustus;B;X;0
69;Parlagi galamb;Feral Pigeon;Straßentaube;Columba livia f. domestica;C1;FG;318000-426000
70;Kék galamb;Stock Dove;Hohltaube;Columba oenas;A;FG;10000-14000
71;Örvös galamb;Common Wood Pigeon;Ringeltaube;Columba palumbus;A;FG;152000-165000
72;Vadgerle;European Turtle Dove;Turteltaube;Streptopelia turtur;A;FG;80000-120000
73;Keleti gerle;Oriental Turtle Dove;Orientturteltaube;Streptopelia orientalis;A;X;0
74;Balkáni gerle;Eurasian Collared Dove;Türkentaube;Streptopelia decaocto;A;FG;272000-314000
75;Guvat;Water Rail;Wasserralle;Rallus aquaticus;A;FG;5000-7000
76;Haris;Corn Crake;Wachtelkönig;Crex crex;A;FG;525-1532
77;Pettyes vízicsibe;Spotted Crake;Tüpfelsumpfhuhn;Porzana porzana;A;FG;650-1300
78;Vízityúk;Common Moorhen;Teichhuhn;Gallinula chloropus;A;FG;6000-12000
79;Szárcsa;Eurasian Coot;Blässhuhn;Fulica atra;A;FG;10000-20000
80;Szürkefejű kékfú;Grey-headed Swamphen;Graukopf-Purpurhuhn;Porphyrio poliocephalus;A;X;0
81;Törpevízicsibe;Baillon's Crake;Zwergsumpfhuhn;Zapornia pusilla;A;OR;0-15
82;Kis vízicsibe;Little Crake;Kleinsumpfhuhn;Zapornia parva;A;FG;1000-3000
83;Kanadai daru;Sandhill Crane;Kanadakranich;Antigone canadensis;A;X;0
84;Pártás daru;Demoiselle Crane;Jungfernkranich;Grus virgo;A;X;0
85;Daru;Common Crane;Kranich;Grus grus;A;OG;0-1
86;Kis vöcsök;Little Grebe;Zwergtaucher;Tachybaptus ruficollis;A;FG;3000-4000
87;Vörösnyakú vöcsök;Red-necked Grebe;Rothalstaucher;Podiceps grisegena;A;FG;10-20
88;Búbos vöcsök;Great Crested Grebe;Haubentaucher;Podiceps cristatus;A;FG;2000-3000
89;Füles vöcsök;Horned Grebe;Ohrentaucher;Podiceps auritus;A;G;0
90;Feketenyakú vöcsök;Black-necked Grebe;Schwarzhalstaucher;Podiceps nigricollis;A;FG;100-250
91;Rózsás flamingó;Greater Flamingo;Rosaflamingo;Phoenicopterus roseus;A;X;0
92;Kis flamingó;Lesser Flamingo;Zwergflamingo;Phoeniconaias minor;E;X;0
93;Ugartyúk;Eurasian Stone-curlew;Triel;Burhinus oedicnemus;A;FG;32-44
94;Csigaforgató;Eurasian Oystercatcher;Austernfischer;Haematopus ostralegus;A;G;0
95;Gólyatöcs;Black-winged Stilt;Stelzenläufer;Himantopus himantopus;A;FG;590-675
96;Gulipán;Pied Avocet;Säbelschnäbler;Recurvirostra avosetta;A;FG;348-360
97;Bíbic;Northern Lapwing;Kiebitz;Vanellus vanellus;A;FG;10000-15000
98;Tüskés bíbic;Spur-winged Lapwing;Spornkiebitz;Vanellus spinosus;A;X;0
99;Lilebíbic;Sociable Lapwing;Steppenkiebitz;Vanellus gregarius;A;R;0
100;Fehérfarkú lilebíbic;White-tailed Lapwing;Weißschwanzkiebitz;Vanellus leucurus;A;X;0
101;Aranylile;European Golden Plover;Goldregenpfeifer;Pluvialis apricaria;A;G;0
102;Ázsiai pettyeslile;Pacific Golden Plover;Tundra-Goldregenpfeifer;Pluvialis fulva;A;X;0
103;Amerikai pettyeslile;American Golden Plover;Prärie-Goldregenpfeifer;Pluvialis dominica;A;X;0
104;Pettyeslile faj;Pluvialis dominica/fulva;Pluvialis dominica/fulva;Pluvialis dominica/fulva;A;;0
105;Ezüstlile;Grey Plover;Kiebitzregenpfeifer;Pluvialis squatarola;A;G;0
106;Parti lile;Common Ringed Plover;Sandregenpfeifer;Charadrius hiaticula;A;G;0
107;Kis lile;Little Ringed Plover;Flussregenpfeifer;Charadrius dubius;A;FG;470-760
108;Ékfarkú lile;Killdeer;Keilschwanz-Regenpfeifer;Charadrius vociferus;A;X;0
109;Széki lile;Kentish Plover;Seeregenpfeifer;Charadrius alexandrinus;A;FG;0-4
110;Sivatagi lile;Greater Sand Plover;Wüstenregenpfeifer;Charadrius leschenaultii;A;X;0
111;Sztyeppi lile;Caspian Plover;Wermutregenpfeifer;Charadrius asiaticus;A;X;0
112;Havasi lile;Eurasian Dotterel;Mornellregenpfeifer;Charadrius morinellus;A;G;0
113;Hosszúfarkú cankó;Upland Sandpiper;Prärieläufer;Bartramia longicauda;A;X;0
114;Kis póling;Eurasian Whimbrel;Regenbrachvogel;Numenius phaeopus;A;G;0
115;Vékonycsőrű póling;Slender-billed Curlew;Dünnschnabel-Brachvogel;Numenius tenuirostris;A;X;0
116;Nagy póling;Eurasian Curlew;Brachvogel;Numenius arquata;A;FG;21-61
117;Kis goda;Bar-tailed Godwit;Pfuhlschnepfe;Limosa lapponica;A;G;0
118;Nagy goda;Black-tailed Godwit;Uferschnepfe;Limosa limosa;A;FG;80-320
119;Kőforgató;Ruddy Turnstone;Steinwälzer;Arenaria interpres;A;G;0
120;Sarki partfutó;Red Knot;Knutt;Calidris canutus;A;G;0
121;Pajzsoscankó;Ruff;Kampfläufer;Calidris pugnax;A;G;0
122;Sárjáró;Broad-billed Sandpiper;Sumpfläufer;Calidris falcinellus;A;G;0
123;Hegyesfarkú partfutó;Sharp-tailed Sandpiper;Spitzschwanz-Strandläufer;Calidris acuminata;A;X;0
124;Töcspartfutó;Stilt Sandpiper;Bindenstrandläufer;Calidris himantopus;A;X;0
125;Sarlós partfutó;Curlew Sandpiper;Sichelstrandläufer;Calidris ferruginea;A;G;0
126;Temminck-partfutó;Temminck's Stint;Temminckstrandläufer;Calidris temminckii;A;G;0
127;Fenyérfutó;Sanderling;Sanderling;Calidris alba;A;G;0
128;Havasi partfutó;Dunlin;Alpenstrandläufer;Calidris alpina;A;G;0
129;Tengeri partfutó;Purple Sandpiper;Meerstrandläufer;Calidris maritima;A;X;0
130;Baird-partfutó;Baird's Sandpiper;Bairdstrandläufer;Calidris bairdii;A;X;0
131;Apró partfutó;Little Stint;Zwergstrandläufer;Calidris minuta;A;G;0
132;Bonaparte-partfutó;White-rumped Sandpiper;Weißbürzel-Strandläufer;Calidris fuscicollis;A;X;0
133;Cankópartfutó;Buff-breasted Sandpiper;Grasläufer;Calidris subruficollis;A;R;0
134;Vándorpartfutó;Pectoral Sandpiper;Graubrust-Strandläufer;Calidris melanotos;A;R;0
135;Kis partfutó;Semipalmated Sandpiper;Sandstrandläufer;Calidris pusilla;A;X;0
136;Hosszúcsőrű cankógoda;Long-billed Dowitcher;Tundraschlammläufer;Limnodromus scolopaceus;A;X;0
137;Erdei szalonka;Eurasian Woodcock;Waldschnepfe;Scolopax rusticola;A;FG;50-100
138;Kis sárszalonka;Jack Snipe;Zwergschnepfe;Lymnocryptes minimus;A;G;0
139;Nagy sárszalonka;Great Snipe;Doppelschnepfe;Gallinago media;A;G;0
140;Sárszalonka;Common Snipe;Bekassine;Gallinago gallinago;A;FG;300-500
141;Terekcankó;Terek Sandpiper;Terekwasserläufer;Xenus cinereus;A;R;0
142;Wilson-víztaposó;Wilson's Phalarope;Wilsonwassertreter;Phalaropus tricolor;A;X;0
143;Vékonycsőrű víztaposó;Red-necked Phalarope;Odinshühnchen;Phalaropus lobatus;A;G;0
144;Laposcsőrű víztaposó;Red Phalarope;Thorshühnchen;Phalaropus fulicarius;A;R;0
145;Billegetőcankó;Common Sandpiper;Flussuferläufer;Actitis hypoleucos;A;FG;80-120
146;Erdei cankó;Green Sandpiper;Waldwasserläufer;Tringa ochropus;A;G;0
147;Sárgalábú cankó;Lesser Yellowlegs;Gelbschenkel;Tringa flavipes;A;X;0
148;Piroslábú cankó;Common Redshank;Rotschenkel;Tringa totanus;A;FG;480-850
149;Tavi cankó;Marsh Sandpiper;Teichwasserläufer;Tringa stagnatilis;A;G;0
150;Réti cankó;Wood Sandpiper;Bruchwasserläufer;Tringa glareola;A;G;0
151;Füstös cankó;Spotted Redshank;Dunkler Wasserläufer;Tringa erythropus;A;G;0
152;Szürke cankó;Common Greenshank;Grünschenkel;Tringa nebularia;A;G;0
153;Székicsér;Collared Pratincole;Rotflügel-Brachschwalbe;Glareola pratincola;A;FG;30-53
154;Feketeszárnyú székicsér;Black-winged Pratincole;Schwarzflügel-Brachschwalbe;Glareola nordmanni;A;R;0
155;Csüllő;Black-legged Kittiwake;Dreizehenmöwe;Rissa tridactyla;A;R;0
156;Fecskesirály;Sabine's Gull;Schwalbenmöwe;Xema sabini;A;X;0
157;Vékonycsőrű sirály;Slender-billed Gull;Dünnschnabelmöwe;Chroicocephalus genei;A;R;0
158;Bonaparte-sirály;Bonaparte's Gull;Bonapartemöwe;Chroicocephalus philadelphia;A;X;0
159;Dankasirály;Black-headed Gull;Lachmöwe;Chroicocephalus ridibundus;A;FG;4000-6400
160;Kis sirály;Little Gull;Zwergmöwe;Hydrocoloeus minutus;A;G;0
161;Prérisirály;Franklin's Gull;Präriemöwe;Leucophaeus pipixcan;A;X;0
162;Korallsirály;Audouin's Gull;Korallenmöwe;Ichthyaetus audouinii;A;X;0
163;Szerecsensirály;Mediterranean Gull;Schwarzkopfmöwe;Ichthyaetus melanocephalus;A;FG;765-887
164;Halászsirály;Pallas's Gull;Fischmöwe;Ichthyaetus ichthyaetus;A;R;0
165;Viharsirály;Mew Gull;Sturmmöwe;Larus canus;A;OG;0-1
166;Gyűrűscsőrű sirály;Ring-billed Gull;Ringschnabelmöwe;Larus delawarensis;A;X;0
167;Dolmányos sirály;Great Black-backed Gull;Mantelmöwe;Larus marinus;A;R;0
168;Jeges sirály;Glaucous Gull;Eismöwe;Larus hyperboreus;A;X;0
169;Sarki sirály;Iceland Gull;Polarmöwe;Larus glaucoides;A;X;0
170;Ezüstsirály;European Herring Gull;Silbermöwe;Larus argentatus;A;R;0
171;Sztyeppi sirály;Caspian Gull;Steppenmöwe;Larus cachinnans;A;OG;105-159
172;Sárgalábú sirály;Yellow-legged Gull;Mittelmeermöwe;Larus michahellis;A;OG;0-8
173;Örmény sirály;Armenian Gull;Armenienmöwe;Larus armenicus;A;X;0
174;Heringsirály;Lesser Black-backed Gull;Heringsmöwe;Larus fuscus;A;G;0
175;Világoshátú heringsirály;Lesser Black-backed Gull ssp. graellsii/intermedius;Heringsmöwe ssp.;Larus fuscus graellsii/intermedius;A;R;0
176;Szibériai heringsirály;Heuglin's Gull;Tundramöve;Larus fuscus heuglini;A;R;0
177;Kacagócsér;Gull-billed Tern;Lachseeschwalbe;Gelochelidon nilotica;A;G;0
178;Lócsér;Caspian Tern;Raubseeschwalbe;Hydroprogne caspia;A;G;0
179;Kenti csér;Sandwich Tern;Brandseeschwalbe;Thalasseus sandvicensis;A;R;0
180;Kis csér;Little Tern;Zwergseeschwalbe;Sternula albifrons;A;G;0
181;Küszvágó csér;Common Tern;Flussseeschwalbe;Sterna hirundo;A;FG;565-862
182;Sarki csér;Arctic Tern;Küstenseeschwalbe;Sterna paradisaea;A;R;0
183;Fattyúszerkő;Whiskered Tern;Weißbart-Seeschwalbe;Chlidonias hybrida;A;FG;1106-1568
184;Fehérszárnyú szerkő;White-winged Tern;Weißflügel-Seeschwalbe;Chlidonias leucopterus;A;FG;0-124
185;Kormos szerkő;Black Tern;Trauerseeschwalbe;Chlidonias niger;A;FG;25-38
186;Nagy halfarkas;Great Skua;Skua;Stercorarius skua;A;R;0
187;Szélesfarkú halfarkas;Pomarine Skua;Spatelraubmöwe;Stercorarius pomarinus;A;R;0
188;Ékfarkú halfarkas;Arctic Skua;Schmarotzerraubmöwe;Stercorarius parasiticus;A;R;0
189;Nyílfarkú halfarkas;Long-tailed Skua;Falkenraubmöwe;Stercorarius longicaudus;A;R;0
190;Halfarkas faj;Skua sp.;Raubmöwe sp.;Stercorarius sp.;A;R;0
191;Alka;Razorbill;Tordalk;Alca torda;B;X;0
192;Lunda;Atlantic Puffin;Papageitaucher;Fratercula arctica;B;X;0
193;Északi búvár;Red-throated Diver;Sterntaucher;Gavia stellata;A;G;0
194;Sarki búvár;Black-throated Diver;Prachttaucher;Gavia arctica;A;G;0
195;Jeges búvár;Great Northern Diver;Eistaucher;Gavia immer;A;R;0
196;Fehércsőrű búvár;White-billed Diver;Gelbschnabeltaucher;Gavia adamsii;A;X;0
197;Fekete gólya;Black Stork;Schwarzstorch;Ciconia nigra;A;FG;350-400
198;Fehér gólya;White Stork;Weißstorch;Ciconia ciconia;A;FG;4400-5050
199;Afrikai marabu;Marabou Stork;Marabu;Leptoptilos crumenifer;E;X;0
200;Kis kárókatona;Pygmy Cormorant;Zwergscharbe;Microcarbo pygmaeus;A;FG;1100-1233
201;Nagy kárókatona;Great Cormorant;Kormoran;Phalacrocorax carbo;A;FG;2390-2721
202;Batla;Glossy Ibis;Sichler;Plegadis falcinellus;A;OG;0-12
203;Kanalasgém;Eurasian Spoonbill;Löffler;Platalea leucorodia;A;FG;612-1100
204;Afrikai kanalasgém;African Spoonbill;Rotgesichtlöffler;Platalea alba;E;X;0
205;Bölömbika;Eurasian Bittern;Rohrdommel;Botaurus stellaris;A;FG;800-1740
206;Törpegém;Little Bittern;Zwergdommel;Ixobrychus minutus;A;FG;2500-3500
207;Bakcsó;Black-crowned Night Heron;Nachtreiher;Nycticorax nycticorax;A;FG;2243-2576
208;Üstökösgém;Squacco Heron;Rallenreiher;Ardeola ralloides;A;FG;244-286
209;Kínai üstökösgém;Chinese Pond Heron;Bacchusreiher;Ardeola bacchus;A;X;0
210;Pásztorgém;Western Cattle Egret;Kuhreiher;Bubulcus ibis;A;OR;15-30
211;Szürke gém;Grey Heron;Graureiher;Ardea cinerea;A;FG;2970-3343
212;Vörös gém;Purple Heron;Purpurreiher;Ardea purpurea;A;FG;633-802
213;Nagy kócsag;Great Egret;Silberreiher;Ardea alba;A;FG;4173-4666
214;Kis kócsag;Little Egret;Seidenreiher;Egretta garzetta;A;FG;578-768
215;Zátonykócsag;Western Reef Heron;Küstenreiher;Egretta gularis;A;X;0
216;Rózsás gödény;Great White Pelican;Rosapelikan;Pelecanus onocrotalus;A;R;0
217;Vörhenyes gödény;Pink-backed Pelican;Rötelpelikan;Pelecanus rufescens;E;X;0
218;Borzas gödény;Dalmatian Pelican;Krauskopfpelikan;Pelecanus crispus;A;R;0
219;Gödény faj;Pelican sp.;Pelikan sp.;Pelecanus sp.;;R;
220;Halászsas;Western Osprey;Fischadler;Pandion haliaetus;A;G;0
221;Kuhi;Black-winged Kite;Gleitaar;Elanus caeruleus;A;X;0
222;Dögkeselyű;Egyptian Vulture;Schmutzgeier;Neophron percnopterus;A;X;0
223;Darázsölyv;European Honey Buzzard;Wespenbussard;Pernis apivorus;A;FG;800-1000
224;Fakó keselyű;Griffon Vulture;Gänsegeier;Gyps fulvus;A;R;0
225;Barátkeselyű;Cinereous Vulture;Mönchsgeier;Aegypius monachus;A;X;0
226;Kígyászölyv;Short-toed Snake Eagle;Schlangenadler;Circaetus gallicus;A;FG;41-45
227;Békászó sas;Lesser Spotted Eagle;Schreiadler;Clanga pomarina;A;FG;29-36
228;Fekete sas;Greater Spotted Eagle;Schelladler;Clanga clanga;A;R;0
229;Törpesas;Booted Eagle;Zwergadler;Hieraaetus pennatus;A;OR;0-1
